Channel_group,course,lead_id,Lead_type,lead_date,graduation_year,amount_paid,paid_at
A,Java,"41,72,941",EFG,22-05-2024 23:50,2030,,
A,Java,"42,01,009",XYZ,25-05-2024 15:50,2012,,
A,Java,"41,68,799",EFG,01-05-2024 06:10,2014,,
B,Java,"41,99,603",XYZ,08-05-2024 21:58,2018,,
A,Java,"41,64,805",XYZ,17-05-2024 03:13,2027,,
A,Java,"41,63,014",EFG,26-05-2024 06:09,2006,,
A,Java,"41,76,897",XYZ,20-05-2024 01:19,2010,,
A,Java,"41,71,260",EFG,10-05-2024 11:40,2002,,
E,Java,"42,00,765",XYZ,17-05-2024 09:20,2010,,
A,Java,"41,97,951",EFG,07-05-2024 06:38,2023,,
A,Java,"41,68,208",EFG,27-05-2024 11:39,2023,,
B,Java,"42,10,580",EFG,04-05-2024 15:26,2019,,
E,Java,"41,92,437",XYZ,12-05-2024 05:54,2022,,
E,Java,"41,67,767",EFG,07-05-2024 06:42,2013,,
A,Java,"41,80,024",EFG,17-05-2024 14:32,2029,,
A,Java,"41,85,387",EFG,23-05-2024 12:07,2011,,
E,Java,"41,64,348",XYZ,09-05-2024 08:44,2020,,
A,Java,"42,02,160",XYZ,06-05-2024 00:08,2002,,
C,Java,"42,08,104",EFG,17-05-2024 14:38,2025,,
A,Java,"41,72,207",XYZ,26-05-2024 16:37,2027,,
A,Java,"41,83,235",EFG,07-05-2024 21:08,2006,,
E,Java,"41,88,048",XYZ,18-05-2024 08:22,2006,,
E,Java,"41,87,805",XYZ,18-05-2024 10:17,2022,,
E,Java,"41,92,173",XYZ,02-05-2024 11:59,2015,,
A,Java,"42,09,649",XYZ,30-05-2024 03:39,2007,,
A,Java,"41,63,888",EFG,26-05-2024 14:36,2007,,
E,Java,"41,77,749",XYZ,25-05-2024 17:58,2011,,
B,Java,"41,75,744",EFG,22-05-2024 20:18,2004,,
A,Java,"41,83,275",EFG,18-05-2024 23:15,2027,,
A,Java,"41,79,467",XYZ,13-05-2024 07:53,2023,,
B,Java,"41,91,942",EFG,09-05-2024 03:57,2002,,
E,Java,"41,87,526",EFG,14-05-2024 08:32,2016,,
A,Java,"41,66,180",EFG,19-05-2024 18:56,2015,,
E,Java,"42,08,236",XYZ,17-05-2024 10:54,2024,,
A,Java,"41,66,269",XYZ,31-05-2024 04:17,2012,,
E,Java,"41,73,853",XYZ,15-05-2024 05:43,2008,,
I,Java,"41,96,122",XYZ,20-05-2024 22:36,2024,,
E,Java,"41,87,423",XYZ,23-05-2024 19:10,2004,,
E,Java,"42,03,652",XYZ,06-05-2024 00:41,2030,,
A,Java,"41,78,732",XYZ,23-05-2024 20:22,2024,,
A,Java,"41,67,535",EFG,28-05-2024 18:16,2001,,
A,Java,"41,85,076",EFG,24-05-2024 20:33,2008,,
A,Java,"41,78,910",XYZ,03-05-2024 23:22,2013,,
A,Java,"41,72,072",XYZ,09-05-2024 07:37,2012,,
A,Java,"41,67,602",XYZ,24-05-2024 04:31,2020,,
E,Java,"41,90,657",XYZ,13-05-2024 22:25,2016,,
A,Java,"41,68,167",EFG,23-05-2024 04:59,2018,,
C,Java,"41,74,528",EFG,13-05-2024 23:42,2023,,
A,Java,"41,81,668",EFG,18-05-2024 00:02,2005,,
E,Java,"42,01,124",EFG,29-05-2024 17:08,2026,,
A,Java,"41,93,026",EFG,12-05-2024 08:26,2025,,
E,Java,"41,91,518",XYZ,25-05-2024 17:38,2008,,
B,Java,"41,81,874",EFG,07-05-2024 08:35,2006,,
B,Java,"41,78,226",EFG,16-05-2024 00:19,2013,,
A,Java,"41,91,268",XYZ,03-05-2024 06:58,2001,,
H,Java,"41,71,759",EFG,28-05-2024 18:35,2017,,
A,Java,"41,72,128",XYZ,17-05-2024 09:53,2029,,
A,Java,"41,65,988",XYZ,28-05-2024 08:04,2023,,
A,Java,"41,78,925",XYZ,02-05-2024 04:54,2000,,
C,Java,"41,71,020",EFG,19-05-2024 01:09,2009,,
A,Java,"41,95,581",XYZ,06-05-2024 13:49,2029,,
A,Java,"41,70,537",EFG,29-05-2024 00:34,2025,,
A,Java,"41,91,732",XYZ,19-05-2024 19:58,2000,,
A,Java,"41,65,243",EFG,14-05-2024 04:27,2012,,
A,Java,"42,04,308",EFG,30-05-2024 23:35,2023,,
C,Java,"42,00,602",EFG,12-05-2024 01:31,2008,48402,20-05-2024 01:31
A,Java,"41,81,731",EFG,06-05-2024 09:30,2015,,
B,Java,"41,63,348",XYZ,02-05-2024 13:44,2001,,
A,Java,"42,03,866",XYZ,17-05-2024 17:37,2004,,
A,Java,"41,90,061",XYZ,27-05-2024 08:43,2014,,
C,Java,"41,67,047",EFG,25-05-2024 03:26,2003,,
H,Java,"41,90,030",EFG,20-05-2024 19:14,2011,,
A,Java,"41,83,114",EFG,04-05-2024 07:28,2029,,
A,Java,"41,77,969",XYZ,23-05-2024 00:32,2007,,
A,Java,"41,76,325",XYZ,03-05-2024 20:06,2019,,
A,Java,"42,02,479",XYZ,19-05-2024 08:31,2005,,
E,Java,"41,86,900",EFG,07-05-2024 23:19,2011,,
A,Java,"41,63,569",EFG,18-05-2024 05:24,2012,,
H,Java,"42,06,460",EFG,20-05-2024 09:42,2004,,
E,Java,"42,01,333",XYZ,06-05-2024 17:00,2000,,
A,Java,"41,72,954",EFG,29-05-2024 04:50,2016,,
A,Java,"41,80,944",XYZ,19-05-2024 22:04,2008,,
A,Java,"41,92,136",XYZ,31-05-2024 01:12,2001,,
A,Java,"41,84,858",XYZ,30-05-2024 20:21,2029,48402,31-05-2024 20:21
A,Java,"42,08,189",EFG,07-05-2024 00:55,2029,,
E,Java,"42,05,427",EFG,08-05-2024 08:11,2016,,
B,Java,"42,05,875",EFG,04-05-2024 00:53,2010,,
A,Java,"41,85,059",EFG,21-05-2024 19:56,2001,,
A,Java,"41,84,703",XYZ,24-05-2024 17:33,2027,,
A,Java,"42,03,225",EFG,30-05-2024 02:38,2007,,
A,Java,"42,09,506",XYZ,18-05-2024 19:46,2016,,
A,Java,"41,66,570",XYZ,16-05-2024 19:13,2018,,
B,Java,"41,99,389",EFG,22-05-2024 17:01,2021,,
D,Java,"41,64,845",EFG,16-05-2024 17:04,2010,48402,31-05-2024 17:04
H,Java,"41,89,667",XYZ,19-05-2024 06:13,2015,,
D,Java,"41,69,515",XYZ,16-05-2024 06:40,2029,,
A,Java,"41,64,825",EFG,22-05-2024 12:43,2000,,
A,Java,"41,65,317",EFG,23-05-2024 10:50,2021,,
A,Java,"41,63,360",XYZ,14-05-2024 08:20,2021,,
A,Java,"41,63,885",EFG,20-05-2024 15:53,2016,,
I,Java,"41,94,553",EFG,14-05-2024 23:16,2006,,
A,Java,"42,04,133",XYZ,30-05-2024 16:49,2011,,
A,Java,"41,98,734",XYZ,27-05-2024 11:07,2026,,
G,Java,"42,06,909",XYZ,25-05-2024 05:50,2011,,
A,Java,"41,83,023",XYZ,22-05-2024 06:43,2020,,
B,Java,"42,05,566",EFG,07-05-2024 05:45,2029,,
E,Java,"42,01,008",EFG,01-05-2024 19:29,2027,,
A,Java,"41,82,306",XYZ,28-05-2024 16:25,2005,,
E,Java,"41,88,962",EFG,04-05-2024 11:25,2025,,
B,Java,"41,77,452",EFG,10-05-2024 21:06,2002,,
I,Java,"42,09,100",EFG,25-05-2024 18:08,2003,,
A,Java,"42,05,761",XYZ,27-05-2024 11:41,2018,,
B,Java,"41,82,961",EFG,16-05-2024 15:58,2007,,
E,Java,"41,86,763",EFG,26-05-2024 01:34,2001,,
B,Java,"41,78,562",EFG,13-05-2024 04:14,2010,48402,18-05-2024 04:14
A,Java,"41,67,241",EFG,20-05-2024 07:30,2005,,
A,Java,"42,09,389",XYZ,05-05-2024 08:23,2006,,
E,Java,"41,89,648",EFG,30-05-2024 01:34,2022,,
E,Java,"41,76,594",EFG,24-05-2024 08:38,2011,,
B,Java,"41,82,955",EFG,08-05-2024 00:25,2006,,
A,Java,"41,83,951",EFG,31-05-2024 22:47,2004,,
A,Java,"42,06,300",XYZ,10-05-2024 09:00,2003,,
A,Java,"41,65,964",XYZ,04-05-2024 22:12,2009,,
I,Java,"41,94,652",XYZ,03-05-2024 17:31,2024,,
A,Java,"41,69,837",XYZ,15-05-2024 22:53,2005,,
A,Java,"42,03,014",XYZ,23-05-2024 14:05,2003,,
E,Java,"41,87,589",EFG,13-05-2024 23:37,2019,,
A,Java,"41,83,600",XYZ,25-05-2024 13:01,2009,,
B,Java,"42,09,802",EFG,18-05-2024 01:11,2011,48402,31-05-2024 01:11
A,Java,"41,99,572",EFG,19-05-2024 22:03,2010,,
A,Java,"41,78,395",XYZ,06-05-2024 08:29,2022,,
A,Java,"42,06,972",EFG,30-05-2024 16:54,2002,,
E,Java,"41,97,886",EFG,21-05-2024 06:51,2003,,
A,Java,"42,09,693",XYZ,08-05-2024 07:59,2000,,
A,Java,"41,82,518",EFG,30-05-2024 06:25,2019,,
B,Java,"42,07,317",EFG,29-05-2024 13:14,2017,,
E,Java,"41,86,983",XYZ,11-05-2024 01:46,2025,,
E,Java,"41,93,252",XYZ,29-05-2024 00:23,2028,,
A,Java,"41,77,123",EFG,17-05-2024 12:19,2014,,
C,Java,"41,70,946",XYZ,14-05-2024 18:05,2007,,
A,Java,"41,83,589",EFG,12-05-2024 09:35,2001,,
A,Java,"42,07,668",EFG,07-05-2024 17:50,2013,,
A,Java,"41,72,246",EFG,28-05-2024 18:05,2001,,
A,Java,"41,83,064",XYZ,22-05-2024 09:59,2028,,
B,Java,"41,80,947",EFG,21-05-2024 13:56,2029,,
B,Java,"41,95,261",EFG,01-05-2024 09:13,2023,,
E,Java,"41,90,075",EFG,09-05-2024 22:46,2021,,
A,Java,"41,63,925",EFG,11-05-2024 15:39,2023,,
E,Java,"41,77,657",XYZ,27-05-2024 04:16,2006,,
B,Java,"41,85,073",EFG,01-05-2024 05:12,2005,,
A,Java,"41,65,114",EFG,16-05-2024 13:06,2003,,
A,Java,"41,70,314",EFG,21-05-2024 12:55,2012,,
B,Java,"41,83,042",XYZ,18-05-2024 11:41,2022,,
A,Java,"41,71,687",EFG,04-05-2024 05:18,2029,,
E,Java,"41,93,571",EFG,02-05-2024 21:53,2011,,
A,Java,"41,74,920",EFG,05-05-2024 13:43,2012,,
B,Java,"41,87,063",XYZ,25-05-2024 16:42,2016,,
E,Java,"41,92,419",EFG,11-05-2024 22:49,2018,,
C,Java,"41,66,929",EFG,26-05-2024 05:33,2022,,
A,Java,"41,70,797",EFG,28-05-2024 11:52,2000,,
A,Java,"41,65,398",XYZ,16-05-2024 03:09,2021,,
A,Java,"41,80,016",XYZ,22-05-2024 08:45,2005,,
A,Java,"41,99,225",XYZ,25-05-2024 16:50,2020,,
A,Java,"41,97,768",XYZ,07-05-2024 02:11,2005,,
A,Java,"41,63,570",XYZ,01-05-2024 16:49,2013,,
A,Java,"41,99,730",XYZ,10-05-2024 11:35,2015,,
E,Java,"41,78,337",XYZ,15-05-2024 20:14,2006,,
B,Java,"41,80,522",XYZ,25-05-2024 04:16,2020,,
A,Java,"42,07,290",EFG,22-05-2024 18:32,2000,,
A,Java,"41,77,508",EFG,19-05-2024 12:35,2006,,
A,Java,"41,94,505",XYZ,06-05-2024 20:31,2017,,
A,Java,"41,63,623",EFG,22-05-2024 08:56,2002,,
A,Java,"41,72,361",XYZ,09-05-2024 09:21,2002,,
A,Java,"41,74,741",XYZ,06-05-2024 23:51,2029,,
A,Java,"41,77,624",EFG,18-05-2024 01:17,2007,,
E,Java,"42,00,690",XYZ,25-05-2024 07:52,2019,,
A,Java,"41,93,762",EFG,19-05-2024 18:56,2002,,
E,Java,"42,00,987",XYZ,26-05-2024 09:48,2014,,
A,Java,"41,81,449",XYZ,09-05-2024 22:39,2003,,
A,Java,"41,75,651",XYZ,25-05-2024 02:54,2006,,
E,Java,"41,87,530",XYZ,10-05-2024 08:43,2004,,
A,Java,"41,67,887",XYZ,27-05-2024 19:53,2006,,
A,Java,"41,68,879",XYZ,13-05-2024 15:10,2024,,
H,Java,"41,63,350",XYZ,25-05-2024 23:00,2009,,
A,Java,"41,68,345",XYZ,22-05-2024 14:18,2020,,
B,Java,"41,90,901",XYZ,20-05-2024 14:08,2030,,
A,Java,"42,03,964",EFG,18-05-2024 00:02,2025,,
A,Java,"41,70,375",XYZ,11-05-2024 15:37,2016,,
B,Java,"41,76,129",XYZ,14-05-2024 00:09,2028,,
I,Java,"41,86,383",EFG,20-05-2024 21:44,2008,,
A,Java,"41,85,253",XYZ,23-05-2024 13:45,2003,,
A,Java,"41,99,069",XYZ,01-05-2024 03:33,2022,,
A,Java,"41,79,098",XYZ,24-05-2024 22:59,2021,,
H,Java,"41,64,481",EFG,08-05-2024 11:30,2008,,
A,Java,"41,78,317",XYZ,21-05-2024 01:46,2019,,
I,Java,"41,90,278",XYZ,05-05-2024 16:36,2010,,
E,Java,"42,01,454",XYZ,27-05-2024 04:57,2024,,
G,Java,"41,99,488",EFG,18-05-2024 22:13,2021,,
E,Java,"41,87,506",XYZ,02-05-2024 23:40,2017,,
A,Java,"42,07,855",EFG,04-05-2024 19:38,2026,48402,23-05-2024 19:38
E,Java,"41,88,628",XYZ,06-05-2024 21:19,2029,,
A,Java,"41,73,628",EFG,06-05-2024 14:04,2009,,
A,Java,"41,66,442",XYZ,25-05-2024 04:36,2013,,
E,Java,"41,88,480",XYZ,19-05-2024 17:05,2002,,
A,Java,"41,77,004",XYZ,05-05-2024 08:34,2000,,
A,Java,"41,84,919",XYZ,16-05-2024 10:57,2026,,
A,Java,"41,97,127",EFG,15-05-2024 21:23,2028,,
B,Java,"41,73,327",EFG,12-05-2024 21:20,2024,,
A,Java,"41,79,540",EFG,12-05-2024 05:45,2018,48402,23-05-2024 05:45
A,Java,"41,83,986",XYZ,17-05-2024 05:27,2017,,
B,Java,"42,09,531",EFG,08-05-2024 02:24,2020,,
A,Java,"41,78,603",XYZ,18-05-2024 14:20,2001,,
A,Java,"41,66,682",EFG,22-05-2024 13:17,2026,,
A,Java,"41,85,834",XYZ,02-05-2024 08:14,2003,,
H,Java,"42,01,560",XYZ,01-05-2024 02:28,2018,,
A,Java,"41,78,917",XYZ,26-05-2024 23:32,2021,,
A,Java,"41,84,279",XYZ,16-05-2024 13:48,2001,,
C,Java,"42,06,165",EFG,19-05-2024 02:28,2028,48402,24-05-2024 02:28
D,Java,"41,71,930",EFG,25-05-2024 16:46,2030,,
B,Java,"41,74,999",EFG,02-05-2024 22:09,2001,,
A,Java,"41,85,649",EFG,03-05-2024 19:31,2006,,
E,Java,"41,80,332",EFG,19-05-2024 09:29,2012,,
C,Java,"1,38,839",ABC,16-05-2024 21:22,2019,,
F,Java,"1,42,092",EFG,28-05-2024 00:03,2013,,
C,Java,"1,38,608",ABC,23-05-2024 17:56,2017,,
H,Java,"1,37,792",ABC,31-05-2024 01:21,2003,,
A,Java,"1,35,873",ABC,01-05-2024 22:05,2025,,
A,Java,"1,36,761",ABC,04-05-2024 12:46,2001,,
A,Java,"1,42,061",ABC,19-05-2024 20:06,2015,,
A,Java,"41,81,476",XYZ,05-05-2024 16:25,2013,,
C,Java,"1,37,776",ABC,06-05-2024 00:59,2026,,
F,Java,"1,42,379",EFG,03-05-2024 19:22,2014,,
A,Java,"1,41,045",ABC,23-05-2024 12:50,2019,,
A,Java,"1,38,849",ABC,06-05-2024 17:34,2019,,
D,Java,"1,41,844",ABC,17-05-2024 05:41,2005,,
A,Java,"41,63,381",EFG,19-05-2024 21:07,2003,,
A,Java,"1,39,131",ABC,27-05-2024 11:27,2014,,
D,Java,"1,36,786",ABC,16-05-2024 20:53,2025,,
A,Java,"41,63,768",EFG,23-05-2024 23:26,2006,48402,30-05-2024 23:26
A,Java,"1,38,043",ABC,11-05-2024 16:08,2003,,
I,Java,"1,40,468",ABC,02-05-2024 15:22,2012,,
D,Java,"1,39,076",ABC,04-05-2024 11:17,2012,,
A,Java,"1,40,590",ABC,17-05-2024 08:40,2029,,
H,Java,"41,71,149",EFG,22-05-2024 13:01,2004,,
A,Java,"42,11,033",EFG,27-05-2024 00:01,2027,,
H,Java,"41,91,889",EFG,19-05-2024 15:44,2015,,
A,Java,"41,98,651",XYZ,28-05-2024 11:17,2023,,
D,Java,"1,41,148",ABC,11-05-2024 14:01,2015,48402,27-05-2024 14:01
E,Java,"1,40,027",ABC,14-05-2024 17:24,2026,,
A,Java,"41,90,408",EFG,10-05-2024 09:57,2010,,
A,Java,"1,39,453",ABC,15-05-2024 05:01,2025,,
A,Java,"1,42,250",ABC,21-05-2024 11:08,2030,,
F,Java,"1,42,275",EFG,23-05-2024 09:18,2015,,
D,Java,"1,42,902",ABC,05-05-2024 01:22,2027,,
D,Java,"1,42,877",ABC,09-05-2024 21:33,2019,,
D,Java,"1,42,924",ABC,20-05-2024 18:44,2024,,
A,Java,"1,43,022",ABC,05-05-2024 20:03,2024,,
C,Java,"1,43,048",ABC,31-05-2024 17:22,2005,,
E,Java,"1,43,076",ABC,13-05-2024 04:50,2000,,
G,Java,"1,43,166",ABC,07-05-2024 14:53,2022,,
A,Java,"1,43,234",ABC,16-05-2024 13:10,2028,,
F,Java,"1,43,248",EFG,09-05-2024 12:20,2010,,
A,Java,"1,43,010",ABC,29-05-2024 09:39,2017,,
A,Java,"1,43,021",ABC,28-05-2024 00:13,2016,,
D,Java,"1,43,046",ABC,11-05-2024 13:18,2023,,
F,Java,"1,43,092",EFG,28-05-2024 08:43,2007,,
F,Java,"1,43,202",EFG,11-05-2024 22:54,2004,,
F,Java,"1,43,223",EFG,31-05-2024 19:57,2030,,
H,Java,"42,07,839",XYZ,18-05-2024 10:50,2007,,
H,Java,"1,43,101",ABC,29-05-2024 22:03,2009,,
A,Java,"1,41,868",ABC,25-05-2024 14:04,2015,,
A,Java,"1,42,140",ABC,28-05-2024 08:03,2024,48402,31-05-2024 08:03
A,Java,"1,43,106",ABC,11-05-2024 19:56,2022,,
A,Java,"1,43,238",ABC,20-05-2024 15:55,2017,,
A,Java,"1,43,265",ABC,15-05-2024 11:04,2001,,
F,Java,"1,43,284",EFG,04-05-2024 20:06,2011,,
F,Java,"1,43,402",EFG,12-05-2024 09:01,2023,,
A,Java,"1,36,839",ABC,12-05-2024 01:43,2028,,
D,Java,"1,37,039",ABC,07-05-2024 15:47,2008,,
A,Java,"1,37,140",ABC,29-05-2024 19:13,2022,,
A,Java,"1,37,156",ABC,11-05-2024 06:57,2017,,
D,Java,"1,36,192",ABC,24-05-2024 06:12,2020,,
A,Java,"1,36,393",ABC,19-05-2024 03:00,2015,,
A,Java,"1,36,594",ABC,14-05-2024 02:36,2023,,
F,Java,"1,36,688",EFG,28-05-2024 00:04,2002,,
A,Java,"1,36,263",ABC,10-05-2024 18:49,2017,,
G,Java,"1,36,526",ABC,31-05-2024 16:33,2020,,
F,Java,"1,36,729",EFG,18-05-2024 01:33,2005,,
A,Java,"1,36,248",ABC,22-05-2024 09:13,2029,,
D,Java,"41,65,291",EFG,23-05-2024 03:02,2012,48402,28-05-2024 03:02
H,Java,"1,36,356",ABC,20-05-2024 22:42,2015,48402,26-05-2024 22:42
H,Java,"1,37,202",ABC,24-05-2024 16:53,2003,,
F,Java,"1,37,052",EFG,21-05-2024 12:05,2000,,
A,Java,"1,36,937",ABC,12-05-2024 03:38,2014,,
F,Java,"1,37,226",EFG,29-05-2024 15:16,2028,,
F,Java,"1,37,249",EFG,10-05-2024 08:02,2005,,
A,Java,"1,36,221",ABC,06-05-2024 17:47,2027,,
D,Java,"1,36,230",ABC,19-05-2024 01:34,2014,,
F,Java,"1,36,472",EFG,26-05-2024 06:35,2010,,
A,Java,"1,36,520",ABC,22-05-2024 05:24,2017,,
A,Java,"1,36,618",ABC,18-05-2024 00:02,2013,,
D,Java,"1,36,357",ABC,30-05-2024 19:31,2014,,
D,Java,"1,37,970",ABC,28-05-2024 21:12,2016,,
G,Java,"1,37,814",ABC,26-05-2024 01:22,2002,,
D,Java,"41,64,480",EFG,20-05-2024 18:38,2023,,
A,Java,"1,42,458",ABC,02-05-2024 17:01,2012,,
D,Java,"1,42,501",ABC,11-05-2024 19:12,2026,48402,20-05-2024 19:12
A,Java,"1,42,580",ABC,20-05-2024 04:50,2008,,
A,Java,"42,05,584",XYZ,08-05-2024 15:17,2011,,
F,Java,"1,42,749",EFG,15-05-2024 23:29,2024,,
D,Java,"1,42,397",ABC,15-05-2024 16:06,2024,,
A,Java,"1,42,436",ABC,06-05-2024 13:45,2019,,
F,Java,"1,42,461",EFG,28-05-2024 02:21,2002,,
G,Java,"1,42,534",ABC,22-05-2024 13:28,2014,,
A,Java,"42,04,377",XYZ,15-05-2024 14:55,2006,,
A,Java,"41,93,483",XYZ,07-05-2024 08:21,2021,,
F,Java,"1,42,589",EFG,20-05-2024 16:19,2004,,
F,Java,"1,42,840",EFG,05-05-2024 01:32,2002,,
F,Java,"1,42,856",EFG,25-05-2024 21:23,2016,,
A,Java,"1,42,861",ABC,16-05-2024 22:40,2006,,
A,Java,"1,42,448",ABC,13-05-2024 12:06,2029,,
A,Java,"1,42,560",ABC,02-05-2024 17:32,2000,,
A,Java,"1,42,788",ABC,11-05-2024 09:12,2019,,
H,Java,"1,42,815",ABC,17-05-2024 14:33,2028,,
A,Java,"1,42,593",ABC,26-05-2024 02:12,2014,,
A,Java,"41,79,350",EFG,30-05-2024 00:39,2030,48402,31-05-2024 00:39
F,Java,"1,42,655",EFG,09-05-2024 04:47,2000,,
I,Java,"1,42,702",ABC,21-05-2024 06:57,2013,,
I,Java,"1,42,776",ABC,24-05-2024 18:53,2011,,
F,Java,"1,42,819",EFG,09-05-2024 03:09,2020,,
F,Java,"1,42,828",EFG,23-05-2024 05:51,2028,,
H,Java,"1,41,682",ABC,17-05-2024 15:39,2018,,
D,Java,"1,41,708",ABC,15-05-2024 11:19,2014,,
F,Java,"1,41,723",EFG,24-05-2024 13:00,2002,,
A,Java,"1,41,790",ABC,21-05-2024 03:03,2022,,
A,Java,"1,41,932",ABC,05-05-2024 15:44,2022,,
F,Java,"1,42,123",EFG,28-05-2024 16:53,2027,,
H,Java,"1,42,133",ABC,20-05-2024 15:50,2028,,
A,Java,"1,41,733",ABC,08-05-2024 23:50,2000,,
A,Java,"1,41,771",ABC,06-05-2024 00:12,2006,,
A,Java,"1,42,013",ABC,05-05-2024 01:14,2025,,
I,Java,"1,42,029",ABC,18-05-2024 18:14,2014,,
F,Java,"1,42,081",EFG,21-05-2024 15:48,2029,,
A,Java,"1,42,128",ABC,19-05-2024 17:39,2009,,
F,Java,"1,42,185",EFG,27-05-2024 13:10,2003,,
F,Java,"1,42,201",EFG,20-05-2024 16:21,2024,,
E,Java,"1,42,295",ABC,01-05-2024 06:41,2016,,
C,Java,"1,41,740",ABC,26-05-2024 09:15,2000,,
B,Java,"41,76,761",EFG,29-05-2024 19:13,2022,48402,31-05-2024 19:13
A,Java,"1,41,800",ABC,17-05-2024 21:39,2030,,
D,Java,"1,41,941",ABC,02-05-2024 11:34,2007,,
D,Java,"1,41,947",ABC,14-05-2024 15:13,2026,,
F,Java,"1,41,949",EFG,17-05-2024 18:17,2011,,
G,Java,"1,42,028",ABC,26-05-2024 04:22,2011,,
H,Java,"42,00,727",XYZ,07-05-2024 03:10,2021,,
A,Java,"1,41,813",ABC,18-05-2024 17:32,2027,,
A,Java,"1,41,922",ABC,03-05-2024 15:17,2027,,
G,Java,"1,41,983",ABC,04-05-2024 14:16,2023,,
I,Java,"1,41,998",ABC,21-05-2024 11:06,2015,,
C,Java,"1,42,014",ABC,31-05-2024 18:13,2004,,
F,Java,"1,42,016",EFG,03-05-2024 03:36,2026,,
F,Java,"1,42,072",EFG,26-05-2024 18:27,2015,,
E,Java,"1,42,097",ABC,20-05-2024 03:14,2023,,
A,Java,"1,42,278",ABC,10-05-2024 07:59,2030,,
F,Java,"1,42,300",EFG,29-05-2024 09:38,2018,,
A,Java,"1,36,934",ABC,16-05-2024 10:17,2028,,
F,Java,"1,37,248",EFG,01-05-2024 21:38,2015,,
F,Java,"1,36,897",EFG,18-05-2024 16:14,2013,,
A,Java,"1,37,144",ABC,23-05-2024 05:05,2000,,
F,Java,"1,37,898",EFG,12-05-2024 13:11,2002,,
F,Java,"1,37,919",EFG,25-05-2024 07:53,2018,,
D,Java,"1,35,875",ABC,13-05-2024 14:57,2013,,
D,Java,"1,35,960",ABC,11-05-2024 17:58,2028,,
A,Java,"1,36,016",ABC,10-05-2024 07:32,2024,,
F,Java,"1,35,821",EFG,28-05-2024 04:21,2006,,
A,Java,"1,37,278",ABC,26-05-2024 13:33,2023,,
F,Java,"1,37,268",EFG,23-05-2024 09:17,2018,,
D,Java,"1,37,545",ABC,20-05-2024 10:41,2021,,
H,Java,"1,37,318",ABC,09-05-2024 18:35,2011,,
A,Java,"1,37,754",ABC,16-05-2024 20:24,2017,,
D,Java,"1,37,359",ABC,04-05-2024 08:11,2001,,
A,Java,"1,37,614",ABC,25-05-2024 18:15,2011,,
D,Java,"1,36,114",ABC,28-05-2024 14:12,2019,,
F,Java,"1,35,878",EFG,17-05-2024 10:11,2019,,
D,Java,"1,35,898",ABC,23-05-2024 04:34,2008,,
A,Java,"1,35,962",ABC,21-05-2024 03:35,2027,,
F,Java,"1,35,755",EFG,12-05-2024 12:25,2010,,
F,Java,"1,35,775",EFG,03-05-2024 22:13,2025,,
B,Java,"41,64,672",EFG,04-05-2024 23:31,2017,48402,20-05-2024 23:31
F,Java,"1,36,054",EFG,27-05-2024 08:33,2004,,
A,Java,"1,36,088",ABC,09-05-2024 13:51,2028,,
G,Java,"1,37,620",ABC,14-05-2024 22:23,2018,,
F,Java,"1,37,648",EFG,31-05-2024 10:54,2003,,
H,Java,"41,65,494",XYZ,25-05-2024 02:28,2012,,
F,Java,"1,37,549",EFG,18-05-2024 06:46,2004,,
F,Java,"1,37,762",EFG,18-05-2024 17:40,2016,,
A,Java,"41,64,956",XYZ,19-05-2024 00:17,2013,,
F,Java,"1,35,679",EFG,23-05-2024 02:03,2022,,
F,Java,"1,35,405",EFG,28-05-2024 21:06,2020,,
A,Java,"41,64,209",EFG,15-05-2024 12:28,2002,,
A,Java,"1,35,799",ABC,01-05-2024 00:44,2020,,
A,Java,"1,35,687",ABC,16-05-2024 05:25,2009,,
E,Java,"1,40,902",ABC,08-05-2024 10:14,2010,,
F,Java,"1,40,941",EFG,24-05-2024 10:32,2013,,
A,Java,"1,36,184",ABC,03-05-2024 16:12,2011,,
D,Java,"1,36,335",ABC,25-05-2024 22:27,2003,,
D,Java,"1,36,731",ABC,22-05-2024 08:25,2012,,
D,Java,"1,36,555",ABC,11-05-2024 07:47,2010,,
A,Java,"1,36,661",ABC,25-05-2024 06:37,2008,,
D,Java,"1,36,320",ABC,20-05-2024 07:18,2028,,
A,Java,"1,36,467",ABC,08-05-2024 23:52,2016,,
G,Java,"1,36,636",ABC,19-05-2024 13:57,2023,,
F,Java,"1,36,460",EFG,23-05-2024 03:26,2021,,
D,Java,"1,36,802",ABC,03-05-2024 01:17,2005,,
A,Java,"1,37,794",ABC,09-05-2024 23:04,2023,,
A,Java,"1,37,890",ABC,19-05-2024 16:24,2001,,
A,Java,"41,74,994",EFG,29-05-2024 19:27,2005,,
D,Java,"1,37,947",ABC,18-05-2024 18:50,2023,48402,26-05-2024 18:50
A,Java,"1,36,590",ABC,16-05-2024 17:08,2028,48402,18-05-2024 17:08
A,Java,"1,36,717",ABC,23-05-2024 07:53,2026,,
A,Java,"1,35,952",ABC,09-05-2024 16:08,2029,,
F,Java,"1,35,419",EFG,03-05-2024 19:09,2006,,
A,Java,"1,35,557",ABC,06-05-2024 16:07,2030,,
D,Java,"1,35,670",ABC,22-05-2024 23:30,2006,,
D,Java,"1,35,533",ABC,08-05-2024 07:55,2010,,
